Quantidade,Tamanho
6864,4
4420,8
1484,12
1779,16
879,20
745,24
525,28
559,32
415,36
480,40
301,44
348,48
315,52
357,56
283,60
251,64
273,68
264,72
188,76
168,80
176,84
155,88
162,92
178,96
119,100
156,104
135,108
136,112
110,116
113,120
144,124
156,128
181,132
116,136
98,140
104,144
88,148
80,152
104,156
120,160
146,164
123,168
76,172
82,176
95,180
46,184
44,188
75,192
50,196
46,200
53,204
53,208
62,212
61,216
70,220
28,224
42,228
48,232
36,236
44,240
46,244
42,248
32,252
28,256
25,260
29,264
19,268
46,272
30,276
50,280
48,284
50,288
32,292
24,296
38,300
40,304
31,308
30,312
38,316
52,320
21,324
26,328
23,332
29,336
19,340
27,344
25,348
14,352
19,356
24,360
14,364
26,368
22,372
22,376
21,380
36,384
11,388
22,392
24,396
20,400
26,404
20,408
22,412
14,416
16,420
14,424
8,428
18,432
12,436
12,440
21,444
10,448
10,452
16,456
22,460
22,464
18,468
10,472
14,476
8,480
24,484
16,488
10,492
6,496
12,500
8,504
20,508
12,512
4,516
10,520
18,524
10,528
8,532
14,536
14,540
20,544
20,548
26,552
8,556
22,560
18,564
10,568
10,572
8,576
6,580
10,584
5,588
14,592
15,596
22,600
12,604
17,608
6,612
18,616
6,620
4,624
12,628
9,632
9,636
11,640
12,644
10,648
10,652
12,656
8,660
6,664
8,668
8,672
10,680
12,684
8,688
8,692
8,696
12,700
11,704
20,708
10,712
4,716
4,720
2,728
10,732
16,736
2,740
8,744
10,748
10,752
4,756
6,760
4,764
4,768
17,772
16,776
10,780
10,784
10,788
4,792
12,796
2,800
6,804
8,808
18,812
6,816
4,820
8,824
10,828
10,832
4,836
2,840
4,844
2,848
8,852
6,856
2,860
5,864
5,868
4,872
6,876
4,880
12,884
6,888
6,892
6,896
9,900
2,904
8,908
2,912
4,916
4,920
6,924
4,928
5,932
7,936
6,940
8,944
2,948
8,952
6,956
6,960
10,968
8,972
4,976
2,980
2,984
4,988
8,992
2,996
2,1004
2,1008
2,1012
11,1016
9,1020
4,1024
2,1028
4,1032
2,1036
8,1040
6,1044
4,1048
2,1052
2,1060
2,1064
6,1068
12,1072
8,1076
4,1080
2,1084
6,1088
10,1092
3,1096
6,1100
10,1104
4,1108
6,1120
2,1124
2,1132
1,1136
1,1140
2,1144
8,1148
6,1152
8,1156
2,1164
4,1172
8,1176
4,1180
4,1184
2,1196
4,1200
6,1204
4,1208
4,1212
6,1216
2,1220
2,1224
4,1228
4,1232
2,1244
6,1252
6,1256
10,1260
8,1264
4,1268
4,1272
2,1276
6,1284
4,1292
2,1296
2,1300
2,1308
6,1312
6,1320
10,1324
6,1328
2,1332
4,1336
6,1340
4,1344
2,1348
3,1352
6,1356
2,1360
2,1364
6,1372
2,1376
4,1380
2,1384
2,1388
6,1392
2,1396
2,1400
2,1404
2,1416
2,1420
2,1424
2,1428
2,1432
2,1436
4,1440
4,1444
2,1448
2,1452
6,1456
2,1460
2,1472
2,1476
2,1480
4,1484
8,1492
2,1496
2,1500
2,1504
2,1508
1,1512
2,1516
2,1528
2,1532
2,1536
6,1540
4,1544
8,1548
2,1552
4,1560
2,1564
2,1568
4,1580
2,1584
2,1588
2,1596
2,1604
2,1608
2,1620
6,1624
2,1628
2,1632
2,1636
4,1644
2,1656
2,1660
4,1664
2,1668
2,1672
2,1676
2,1680
4,1684
2,1688
1,1712
2,1720
4,1724
4,1728
2,1736
6,1744
2,1756
2,1760
6,1780
2,1796
4,1800
2,1812
6,1816
4,1820
2,1824
6,1828
2,1832
8,1836
2,1840
4,1844
2,1860
2,1868
2,1872
2,1876
2,1884
2,1892
2,1896
6,1900
6,1904
8,1908
2,1916
2,1920
4,1924
2,1928
2,1932
4,1936
2,1940
2,1952
2,1960
2,1972
2,1988
2,1992
2,2008
2,2020
2,2032
1,2036
2,2040
1,2044
2,2052
4,2060
2,2064
6,2068
2,2076
4,2080
4,2088
2,2100
4,2108
2,2116
2,2120
2,2132
2,2136
2,2148
2,2152
4,2156
2,2176
4,2188
4,2192
2,2196
2,2200
2,2212
2,2216
2,2224
2,2236
4,2240
2,2256
2,2260
2,2268
2,2272
2,2276
4,2280
2,2284
2,2288
6,2292
2,2312
2,2316
2,2320
2,2344
2,2348
2,2352
2,2368
2,2372
2,2376
6,2380
2,2384
2,2392
2,2432
4,2436
4,2440
6,2444
4,2452
2,2456
2,2460
2,2488
2,2492
2,2496
2,2500
2,2504
4,2508
2,2520
2,2528
2,2540
1,2544
2,2556
2,2560
2,2564
2,2568
4,2576
2,2580
6,2584
2,2588
4,2592
2,2616
2,2620
2,2624
2,2628
2,2644
2,2652
2,2660
2,2664
4,2668
4,2672
2,2680
2,2684
2,2688
2,2704
2,2716
2,2720
2,2728
2,2732
2,2736
2,2748
2,2752
2,2764
2,2768
2,2772
2,2776
2,2780
2,2792
4,2816
2,2824
2,2828
2,2844
2,2868
2,2876
4,2880
4,2884
2,2888
2,2892
2,2896
2,2900
2,2924
2,2948
2,2952
2,2956
2,2960
2,2988
2,2996
2,3000
4,3004
2,3024
2,3056
4,3116
2,3124
2,3128
2,3136
2,3140
2,3144
4,3180
2,3184
2,3188
2,3196
2,3200
2,3236
2,3264
2,3272
4,3300
2,3312
2,3320
4,3336
2,3356
1,3380
1,3384
2,3396
2,3400
2,3404
2,3408
2,3412
2,3472
2,3476
2,3492
2,3500
2,3512
2,3520
2,3524
2,3528
2,3552
2,3564
2,3580
2,3584
2,3588
2,3600
2,3604
2,3608
2,3632
2,3636
2,3640
2,3664
4,3668
2,3680
2,3704
2,3708
2,3728
2,3780
2,3796
1,3800
3,3804
4,3832
2,3836
2,3840
2,3856
2,3864
2,3868
2,3872
4,3908
2,3912
2,3916
2,3920
2,3924
2,3936
2,3960
6,3964
2,3968
4,4028
2,4032
2,4084
2,4088
3,4100
2,4108
2,4172
2,4180
4,4200
1,4216
2,4232
2,4236
2,4240
2,4308
3,4344
1,4348
2,4368
2,4372
2,4388
2,4392
2,4424
2,4428
2,4432
2,4436
2,4440
2,4444
2,4456
2,4460
2,4464
2,4492
2,4544
2,4552
2,4600
2,4604
2,4664
2,4680
2,4688
2,4704
2,4760
2,4768
2,4880
2,4928
2,4980
2,5072
2,5080
2,5084
2,5088
2,5096
2,5168
2,5284
5,5316
3,5320
2,5324
2,5328
4,5340
2,5356
2,5368
2,5376
2,5380
2,5384
2,5496
2,5540
2,5600
2,5608
2,5612
2,5616
1,5620
2,5624
1,5632
2,5704
2,5716
2,5792
2,5796
2,5800
2,5804
2,5808
2,5852
2,5856
2,5904
2,5952
2,5960
4,5964
2,5968
2,6004
2,6008
2,6012
2,6016
2,6040
4,6112
2,6156
2,6164
2,6192
2,6420
2,6468
1,6612
1,6616
2,6704
2,6836
1,6860
2,6916
2,6932
2,7104
2,7128
2,7180
2,7188
2,7344
1,7532
2,7604
2,7792
2,7852
2,7904
2,7908
2,7912
2,7916
2,8080
2,8204
2,8292
4,8308
1,8392
2,8408
2,8532
1,8568
1,8572
2,8576
2,8580
2,8584
1,8660
2,8664
2,8668
1,8672
2,8712
2,8732
2,8744
2,8748
2,8752
2,8832
2,8844
4,8864
1,8908
2,8928
2,8932
2,8936
2,8940
2,9036
2,9116
1,9268
1,9308
1,9312
2,9320
2,9372
2,9524
2,9660
2,9932
2,9968
2,10072
2,10080
4,10092
2,10096
2,10100
2,10136
2,10140
2,10144
2,10332
2,10452
2,10456
2,10492
2,10572
2,10576
2,10580
2,10584
2,10588
2,10764
2,10796
2,10852
2,10856
4,10892
2,10896
2,10900
2,10908
2,10912
2,10916
2,11184
2,11264
2,11376
2,11440
1,11736
